food_name,brand_name_item_name,brand_name,serving_unit,serving_qty,nf_calories
Haggis & Whisky Sauce,Wetherspoon Haggis & Whisky Sauce,Wetherspoon,serving,1.0,690.0
"Scottish Haggis, Neeps And Tatties","Wetherspoon Scottish Haggis, Neeps And Tatties",Wetherspoon,serving,1.0,1080.0
Breakfast Roll With Haggis,Wetherspoon Breakfast Roll With Haggis,Wetherspoon,serving,1.0,350.0
"Small Plate, Haggis Bites","Wetherspoon Small Plate, Haggis Bites",Wetherspoon,serving,1.0,440.0
Scottish Haggis,Stahly Quality Foods Scottish Haggis,Stahly Quality Foods,cup,0.33000001311302185,180.0
Scotland's Vegetarian Haggis,Macsween Scotland's Vegetarian Haggis,Macsween,g,100.0,260.5799865722656
Premium Quality Haggis with Sirloin Beef,The Caledonian Kitchen Premium Quality Haggis with Sirloin Beef,The Caledonian Kitchen,oz,3.0,170.0
